id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Drift,Marble Sky,indie pop,happy,0.71,122,0.83,0.80,0.24
12,Afterglow Avenue,Static Bloom,synthwave,moody,0.79,114,0.51,0.76,0.19
13,Quiet Hands,North Harbor,folk,relaxed,0.33,88,0.67,0.55,0.88
14,Late Night Signals,Pulse Theory,edm,intense,0.96,128,0.44,0.91,0.07
15,Window Seat Weather,Juniper Lane,acoustic,chill,0.29,76,0.73,0.49,0.93
16,Neon Alley,Chrome River,hip hop,confident,0.84,96,0.62,0.86,0.12
17,Glass Horizon,Velvet Circuit,ambient,focused,0.25,62,0.58,0.38,0.97
18,Thunder Bloom,Iron Petal,metal,intense,0.98,164,0.39,0.68,0.04
